PrimaryName,Group,Is Winner,Adj MMR Before
Abathur,Specialist,False,2184.449404490374
Abathur,Specialist,True,2219.1542254017186
Anub'arak,Warrior,False,2022.573457819802
Anub'arak,Warrior,True,2027.4484944526148
Artanis,Warrior,False,2090.119068776559
Artanis,Warrior,True,2072.19199819495
Arthas,Warrior,False,2060.480642598278
Arthas,Warrior,True,2080.672009169434
Azmodan,Specialist,False,2064.4253439735116
Azmodan,Specialist,True,2041.3634199000592
Brightwing,Support,False,2096.962403491271
Brightwing,Support,True,2070.0005731195806
Chen,Warrior,False,2167.652871043888
Chen,Warrior,True,2183.315106162808
Cho,Warrior,False,2136.1137685174954
Cho,Warrior,True,2211.115888832344
Diablo,Warrior,False,2099.9255202929216
Diablo,Warrior,True,2122.268376015116
E.T.C.,Warrior,False,2056.698511796975
E.T.C.,Warrior,True,2079.7013215652937
Falstad,Assassin,False,2128.9392235971904
Falstad,Assassin,True,2145.6164528802296
Gall,Assassin,False,2019.3001872274035
Gall,Assassin,True,1995.9645226664563
Gazlowe,Specialist,False,2017.812381989862
Gazlowe,Specialist,True,1987.9244584977396
Greymane,Assassin,False,2214.296872192418
Greymane,Assassin,True,2220.625007266922
Illidan,Assassin,False,2019.3013032669876
Illidan,Assassin,True,2068.1320824915965
Jaina,Assassin,False,2017.9621078185558
Jaina,Assassin,True,2036.6656813657864
Johanna,Warrior,False,2026.4210096765523
Johanna,Warrior,True,2015.7086575583917
Kael'thas,Assassin,False,2164.7855210409643
Kael'thas,Assassin,True,2184.9356528143426
Kerrigan,Assassin,False,2055.334958948473
Kerrigan,Assassin,True,2072.761282286121
Kharazim,Support,False,2114.7349800124957
Kharazim,Support,True,2093.1993769721475
Leoric,Warrior,False,2096.93477977628
Leoric,Warrior,True,2099.794431160822
Li Li,Support,False,1914.4675956086305
Li Li,Support,True,1912.8319288223763
Lt. Morales,Support,False,2012.850229906696
Lt. Morales,Support,True,1975.9129150714125
Lunara,Assassin,False,2146.439745520012
Lunara,Assassin,True,2140.3301718228086
Malfurion,Support,False,1991.879372664629
Malfurion,Support,True,1993.3452189502525
Muradin,Warrior,False,2074.527958769568
Muradin,Warrior,True,2108.3293420386262
Murky,Specialist,False,2155.222184955359
Murky,Specialist,True,2161.0120306808312
Nazeebo,Specialist,False,2047.986084009522
Nazeebo,Specialist,True,2045.9708664940674
Nova,Assassin,False,2049.159054964664
Nova,Assassin,True,2081.2410024582614
Raynor,Assassin,False,2047.148871724621
Raynor,Assassin,True,2060.06540155731
Rehgar,Support,False,2055.916148959393
Rehgar,Support,True,2059.6236018045565
Rexxar,Warrior,False,2113.905181481878
Rexxar,Warrior,True,2120.7526308066326
Sgt. Hammer,Specialist,False,1989.7923502024607
Sgt. Hammer,Specialist,True,1989.4122106348116
Sonya,Warrior,False,2086.105049466992
Sonya,Warrior,True,2115.74987155094
Stitches,Warrior,False,2100.5028383037215
Stitches,Warrior,True,2097.6057646549125
Sylvanas,Specialist,False,1971.2741030136556
Sylvanas,Specialist,True,1973.9093406797904
Tassadar,Support,False,2100.068087427773
Tassadar,Support,True,2139.7427158372434
The Butcher,Assassin,False,1924.7852790041886
The Butcher,Assassin,True,1920.4193420955335
The Lost Vikings,Specialist,False,2230.7052426493487
The Lost Vikings,Specialist,True,2231.6234424587565
Thrall,Assassin,False,2113.4818522923365
Thrall,Assassin,True,2135.017110324407
Tychus,Assassin,False,1990.394238878138
Tychus,Assassin,True,2008.9340332280424
Tyrael,Warrior,False,2026.48676508854
Tyrael,Warrior,True,2034.6016192373386
Tyrande,Support,False,2186.284137693751
Tyrande,Support,True,2238.6072923427046
Uther,Support,False,2122.8278400695804
Uther,Support,True,2112.97815772393
Valla,Assassin,False,1971.8646564410433
Valla,Assassin,True,1984.6794364819007
Zagara,Specialist,False,2106.338783673037
Zagara,Specialist,True,2131.792957367938
Zeratul,Assassin,False,2043.1943644895139
Zeratul,Assassin,True,2064.6642772572177
