SubGroup,Hero Level
Ambusher,9.192120078502366
Bruiser,7.096539457640654
Burst Damage,9.074233463986369
Healer,7.674910454463544
Siege,8.20976372648092
Support,6.93593800924135
Sustained Damage,7.568973747316245
Tank,7.622665717911227
Utility,9.008291803837338
