Hero Level,Adj MMR Before
0,2191.007085876274
1,1952.7689190192204
2,1962.735978048508
3,1975.9497544054464
4,1979.9221615379427
5,2008.3801711518004
6,2030.065081701583
7,2051.344201999069
8,2078.571535933417
9,2107.732475520333
10,2129.466940949092
11,2161.374420913845
12,2179.391672493662
13,2186.449353765176
14,2194.6182980292015
15,2190.775227401745
16,2200.7624432898356
17,2205.049553963573
18,2210.797269482165
19,2219.257507851832
20,2246.2740593220446
