HeroID,Group,Game Date,Adj MMR Before
1,Specialist,2015-12-30,2152.6080773528406
1,Specialist,2015-12-31,2175.2850596848207
1,Specialist,2016-01-01,2170.5214226010908
1,Specialist,2016-01-02,2177.865146617619
1,Specialist,2016-01-03,2171.978261374035
1,Specialist,2016-01-04,2188.1304537560077
1,Specialist,2016-01-05,2200.9510425094263
1,Specialist,2016-01-06,2194.856009904626
1,Specialist,2016-01-07,2188.036213821059
1,Specialist,2016-01-08,2190.9640959760313
1,Specialist,2016-01-09,2177.9381470676617
1,Specialist,2016-01-10,2192.830623456239
1,Specialist,2016-01-11,2197.9153122425496
1,Specialist,2016-01-12,2223.420035630991
1,Specialist,2016-01-13,2232.3673817863223
1,Specialist,2016-01-14,2231.6455167259833
1,Specialist,2016-01-15,2207.0121125163214
1,Specialist,2016-01-16,2196.6976360766466
1,Specialist,2016-01-17,2205.592535857009
1,Specialist,2016-01-18,2220.388678313326
1,Specialist,2016-01-19,2233.051108531638
1,Specialist,2016-01-20,2246.445818394939
1,Specialist,2016-01-21,2232.132864079159
1,Specialist,2016-01-22,2211.8305883808193
1,Specialist,2016-01-23,2217.3780446198275
1,Specialist,2016-01-24,2258.9730505338935
2,Warrior,2015-12-30,2022.6893137468408
2,Warrior,2015-12-31,2042.7995842033795
2,Warrior,2016-01-01,2028.3039181699128
2,Warrior,2016-01-02,2032.3020510560225
2,Warrior,2016-01-03,2028.4615825796782
2,Warrior,2016-01-04,2026.618045553691
2,Warrior,2016-01-05,2016.679674015525
2,Warrior,2016-01-06,1998.0207224368726
2,Warrior,2016-01-07,2000.3480223465274
2,Warrior,2016-01-08,2005.9347090823246
2,Warrior,2016-01-09,1994.190991052683
2,Warrior,2016-01-10,1998.779731973233
2,Warrior,2016-01-11,2009.0165142325523
2,Warrior,2016-01-12,2045.1027533623853
2,Warrior,2016-01-13,2036.1152646779788
2,Warrior,2016-01-14,2058.72366705303
2,Warrior,2016-01-15,2051.286787513684
2,Warrior,2016-01-16,2060.702776093609
2,Warrior,2016-01-17,2054.0239552111007
2,Warrior,2016-01-18,2053.1468678585807
2,Warrior,2016-01-19,2048.665523828322
2,Warrior,2016-01-20,2060.9347210919564
2,Warrior,2016-01-21,2092.257878616803
2,Warrior,2016-01-22,2062.945474796623
2,Warrior,2016-01-23,2080.0787200092886
2,Warrior,2016-01-24,2078.3238478732433
3,Warrior,2015-12-30,2037.9039297888755
3,Warrior,2015-12-31,2071.815671224955
3,Warrior,2016-01-01,2068.6556637849003
3,Warrior,2016-01-02,2072.301580603036
3,Warrior,2016-01-03,2063.703035861467
3,Warrior,2016-01-04,2070.6178553378313
