,x,Before,Adjusted
652,3761.0958751393537,2092,2092
653,3769.103678929766,2114,2114
654,3777.111482720179,2077,2077
655,3785.1192865105913,1958,1958
656,3793.1270903010036,1905,1905
657,3801.134894091416,1793,1793
658,3809.142697881829,1726,1726
659,3817.1505016722413,1703,1703
660,3825.1583054626535,1765,1765
661,3833.1661092530658,1667,1667
662,3841.173913043479,1592,1592
663,3849.181716833891,1552,1552
664,3857.1895206243034,1564,1564
665,3865.1973244147157,1492,1492
666,3873.205128205129,1485,1485
667,3881.212931995541,1500,1500
668,3889.2207357859534,1325,1325
669,3897.2285395763656,1290,1290
670,3905.236343366779,1186,1186
671,3913.244147157191,1190,1190
672,3921.2519509476033,1164,1164
673,3929.2597547380155,1161,1161
674,3937.2675585284287,1100,1100
675,3945.275362318841,1008,1008
676,3953.283166109253,996,996
677,3961.2909698996655,1042,1042
678,3969.2987736900786,1052,1052
679,3977.306577480491,1080,1080
680,3985.314381270903,1026,1026
681,3993.3221850613154,971,971
682,4001.3299888517286,892,892
683,4009.337792642141,830,830
684,4017.345596432553,811,811
685,4025.3534002229662,738,738
686,4033.3612040133785,717,717
687,4041.3690078037907,701,701
688,4049.376811594203,631,631
689,4057.384615384616,533,533
690,4065.3924191750284,533,533
691,4073.4002229654407,515,515
692,4081.408026755853,538,538
693,4089.415830546266,471,471
694,4097.423634336678,482,482
695,4105.431438127091,441,441
696,4113.439241917503,433,433
697,4121.447045707916,460,460
698,4129.454849498328,448,448
699,4137.4626532887405,475,475
700,4145.470457079153,487,487
701,4153.478260869566,452,452
702,4161.486064659978,405,405
703,4169.49386845039,378,378
704,4177.501672240803,354,354
705,4185.509476031216,344,344
706,4193.517279821628,327,327
707,4201.52508361204,306,306
708,4209.532887402453,326,326
709,4217.540691192866,315,315
710,4225.548494983278,290,290
711,4233.55629877369,297,297
712,4241.5641025641025,263,263
713,4249.571906354516,240,240
714,4257.579710144928,274,274
715,4265.58751393534,257,257
716,4273.5953177257525,251,251
717,4281.603121516166,243,243
718,4289.610925306578,241,241
719,4297.61872909699,222,222
720,4305.626532887402,206,206
721,4313.634336677816,202,202
722,4321.642140468228,170,170
723,4329.64994425864,157,157
724,4337.657748049052,128,128
725,4345.6655518394655,120,120
726,4353.673355629878,132,132
727,4361.68115942029,95,95
728,4369.688963210703,98,98
729,4377.696767001115,107,107
730,4385.704570791528,84,84
731,4393.71237458194,67,67
732,4401.720178372353,64,64
733,4409.727982162765,63,63
734,4417.735785953178,66,66
735,4425.74358974359,56,56
736,4433.751393534003,51,51
737,4441.759197324415,65,65
738,4449.7670011148275,55,55
739,4457.77480490524,71,71
740,4465.782608695653,55,55
741,4473.790412486065,50,50
742,4481.798216276477,43,43
743,4489.80602006689,37,37
744,4497.813823857303,34,34
745,4505.821627647715,31,31
746,4513.829431438127,34,34
747,4521.83723522854,23,23
748,4529.845039018953,28,28
749,4537.852842809365,37,37
750,4545.860646599777,31,31
751,4553.8684503901895,23,23
752,4561.876254180603,19,19
753,4569.884057971015,11,11
754,4577.891861761427,8,8
755,4585.8996655518395,15,15
756,4593.907469342253,15,15
757,4601.915273132665,16,16
758,4609.923076923077,33,33
759,4617.930880713489,39,39
760,4625.938684503903,38,38
761,4633.946488294315,39,39
762,4641.954292084727,19,19
763,4649.962095875139,18,18
764,4657.9698996655525,17,17
765,4665.977703455965,10,10
766,4673.985507246377,9,9
767,4681.993311036789,3,3
768,4690.001114827202,7,7
769,4698.008918617615,3,3
770,4706.016722408027,7,7
771,4714.02452619844,4,4
772,4722.032329988852,9,9
773,4730.040133779265,13,13
774,4738.047937569677,6,6
775,4746.05574136009,3,3
776,4754.063545150502,1,1
777,4762.0713489409145,1,1
778,4770.079152731327,2,2
779,4778.08695652174,0,0
780,4786.094760312152,1,1
781,4794.102564102564,1,1
782,4802.110367892977,2,2
783,4810.11817168339,2,2
784,4818.125975473802,0,0
785,4826.133779264214,1,1
786,4834.141583054627,1,1
787,4842.14938684504,1,1
788,4850.157190635452,1,1
789,4858.164994425864,1,1
790,4866.1727982162765,1,1
791,4874.18060200669,0,0
792,4882.188405797102,0,0
793,4890.196209587514,0,0
794,4898.2040133779265,0,0
795,4906.21181716834,0,0
796,4914.219620958752,0,0
797,4922.227424749164,0,0
798,4930.235228539576,1,1
799,4938.24303232999,1,1
800,4946.250836120402,0,0
801,4954.258639910814,0,0
802,4962.266443701226,0,0
803,4970.2742474916395,0,0
804,4978.282051282052,0,0
805,4986.289855072464,0,0
806,4994.297658862876,0,0
807,5002.305462653289,0,0
808,5010.313266443702,0,0
809,5018.321070234114,1,1
810,5026.328874024527,1,1
811,5034.336677814939,0,0
812,5042.344481605352,0,0
813,5050.352285395764,0,0
814,5058.360089186177,0,0
815,5066.367892976589,0,0
816,5074.3756967670015,1,1
817,5082.383500557414,0,0
818,5090.391304347827,0,0
819,5098.399108138239,0,0
820,5106.406911928651,0,0
821,5114.414715719064,0,0
822,5122.422519509477,0,0
823,5130.430323299889,0,0
824,5138.438127090301,0,0
825,5146.445930880714,0,0
826,5154.453734671127,0,0
827,5162.461538461539,0,0
828,5170.469342251951,0,0
829,5178.4771460423635,2,2
830,5186.484949832777,0,0
831,5194.492753623189,0,0
832,5202.500557413601,0,0
833,5210.508361204013,0,0
834,5218.516164994427,0,0
835,5226.523968784839,0,0
836,5234.531772575251,0,0
837,5242.539576365663,0,0
838,5250.5473801560765,1,1
839,5258.555183946489,0,0
840,5266.562987736901,0,0
841,5274.570791527313,0,0
842,5282.5785953177265,0,0
843,5290.586399108139,0,0
844,5298.594202898551,0,0
845,5306.602006688963,0,0
846,5314.609810479376,0,0
847,5322.617614269789,0,0
848,5330.625418060201,0,0
849,5338.633221850613,0,0
850,5346.641025641026,0,0
851,5354.648829431439,0,0
852,5362.656633221851,0,0
853,5370.664437012264,0,0
854,5378.672240802676,0,0
855,5386.6800445930885,0,0
856,5394.687848383501,0,0
857,5402.695652173914,0,0
858,5410.703455964326,0,0
859,5418.711259754738,0,0
860,5426.719063545151,0,0
861,5434.726867335564,0,0
862,5442.734671125976,1,1
863,5450.742474916388,0,0
864,5458.750278706801,0,0
865,5466.758082497214,1,1
866,5474.765886287626,0,0
867,5482.773690078038,1,1
868,5490.7814938684505,0,0
869,5498.789297658864,0,0
870,5506.797101449276,0,0
871,5514.804905239688,0,0
872,5522.8127090301,1,1
873,5530.820512820514,0,0
874,5538.828316610926,0,0
875,5546.836120401338,2,2
876,5554.84392419175,2,2
877,5562.8517279821635,1,1
878,5570.859531772576,1,1
879,5578.867335562988,0,0
880,5586.8751393534,1,1
881,5594.8829431438135,1,1
882,5602.890746934226,0,0
883,5610.898550724638,1,1
884,5618.90635451505,2,2
885,5626.914158305463,2,2
886,5634.921962095876,1,1
887,5642.929765886288,1,1
888,5650.9375696767,1,1
889,5658.945373467113,2,2
890,5666.953177257526,3,3
891,5674.960981047938,1,1
892,5682.96878483835,4,4
893,5690.976588628763,2,2
894,5698.9843924191755,0,0
