PrimaryName,Group,SubGroup,Game Date,Is Winner
Arthas,Warrior,Bruiser,2016-01-07,0.46580129805292064
Arthas,Warrior,Bruiser,2016-01-08,0.46408668730650154
Arthas,Warrior,Bruiser,2016-01-09,0.4694780300796225
Arthas,Warrior,Bruiser,2016-01-10,0.46280005963918297
Arthas,Warrior,Bruiser,2016-01-11,0.4646546158812137
Arthas,Warrior,Bruiser,2016-01-12,0.44706451835972616
Arthas,Warrior,Bruiser,2016-01-13,0.45325029194239
Arthas,Warrior,Bruiser,2016-01-14,0.45340218206046473
Arthas,Warrior,Bruiser,2016-01-15,0.4531949167710757
Arthas,Warrior,Bruiser,2016-01-16,0.4557853449812801
Arthas,Warrior,Bruiser,2016-01-17,0.4564966313763234
Arthas,Warrior,Bruiser,2016-01-18,0.4572113190324053
Arthas,Warrior,Bruiser,2016-01-19,0.47506639126586014
Arthas,Warrior,Bruiser,2016-01-20,0.45053835800807535
Arthas,Warrior,Bruiser,2016-01-21,0.46398891966759004
Arthas,Warrior,Bruiser,2016-01-22,0.475168132436627
Arthas,Warrior,Bruiser,2016-01-23,0.4640423921271764
Arthas,Warrior,Bruiser,2016-01-24,0.4742268041237113
Azmodan,Specialist,Siege,2015-12-30,0.5022321428571429
Azmodan,Specialist,Siege,2015-12-31,0.5073876618431074
Azmodan,Specialist,Siege,2016-01-01,0.5065559440559441
Azmodan,Specialist,Siege,2016-01-02,0.5088066701406982
Azmodan,Specialist,Siege,2016-01-03,0.4989836311115866
Azmodan,Specialist,Siege,2016-01-04,0.5141028422651335
Azmodan,Specialist,Siege,2016-01-05,0.4868032786885246
Azmodan,Specialist,Siege,2016-01-06,0.5001300954032958
Azmodan,Specialist,Siege,2016-01-07,0.4960528138128434
Azmodan,Specialist,Siege,2016-01-08,0.48772600992849663
Azmodan,Specialist,Siege,2016-01-09,0.4922159364995834
Azmodan,Specialist,Siege,2016-01-10,0.4918747162959601
Azmodan,Specialist,Siege,2016-01-11,0.49250465039938723
Azmodan,Specialist,Siege,2016-01-12,0.5029526141437419
Azmodan,Specialist,Siege,2016-01-13,0.5038402457757296
Azmodan,Specialist,Siege,2016-01-14,0.4929645027182603
Azmodan,Specialist,Siege,2016-01-15,0.5049257232212666
Azmodan,Specialist,Siege,2016-01-16,0.5036264732547597
Azmodan,Specialist,Siege,2016-01-17,0.5057417020607204
Azmodan,Specialist,Siege,2016-01-18,0.4963895574893538
Azmodan,Specialist,Siege,2016-01-19,0.5169230769230769
Azmodan,Specialist,Siege,2016-01-20,0.5101128880526811
Azmodan,Specialist,Siege,2016-01-21,0.5178104246327229
Azmodan,Specialist,Siege,2016-01-22,0.5223162754905732
Azmodan,Specialist,Siege,2016-01-23,0.5055973946672094
Azmodan,Specialist,Siege,2016-01-24,0.5066785396260017
Brightwing,Support,Healer,2015-12-30,0.4585635359116022
Brightwing,Support,Healer,2015-12-31,0.4733142982648803
Brightwing,Support,Healer,2016-01-01,0.45260039499670834
Brightwing,Support,Healer,2016-01-02,0.4610164597170084
Brightwing,Support,Healer,2016-01-03,0.45994909417577484
Brightwing,Support,Healer,2016-01-04,0.45499645641389086
Brightwing,Support,Healer,2016-01-05,0.46482364156339373
Brightwing,Support,Healer,2016-01-06,0.4533650329188003
